Song: aguas_de_marco

Position, Duration, Pitch
1.000000, 1.000000, 75
2.000000, 1.000000, 71
3.000000, 1.000000, 75
4.000000, 1.000000, 71
5.000000, 1.000000, 75
6.000000, 0.500000, 75
6.500000, 0.500000, 73
7.000000, 0.500000, 71
7.500000, 1.500000, 71
9.000000, 0.500000, 75
9.500000, 0.500000, 75
10.000000, 0.500000, 75
10.500000, 0.500000, 73
11.000000, 0.500000, 71
11.500000, 1.500000, 71
13.000000, 0.500000, 75
13.500000, 0.500000, 75
14.000000, 0.500000, 75
14.500000, 0.500000, 73
15.000000, 0.500000, 71
15.500000, 1.500000, 71
17.000000, 0.500000, 75
17.500000, 0.500000, 75
18.000000, 0.500000, 75
18.500000, 0.500000, 73
19.000000, 0.500000, 71
19.500000, 1.500000, 71
21.000000, 0.500000, 75
21.500000, 0.500000, 75
22.000000, 0.500000, 75
22.500000, 0.500000, 73
23.000000, 0.500000, 71
23.500000, 1.500000, 71
25.000000, 0.500000, 75
25.500000, 0.500000, 75
26.000000, 0.500000, 75
26.500000, 0.500000, 73
27.000000, 0.500000, 71
27.500000, 1.500000, 71
29.000000, 0.500000, 75
29.500000, 0.500000, 75
30.000000, 0.500000, 75
30.500000, 0.500000, 73
31.000000, 0.500000, 71
31.500000, 1.500000, 71
33.000000, 0.500000, 78
33.500000, 0.500000, 78
34.000000, 0.500000, 78
34.500000, 0.500000, 78
35.000000, 0.500000, 78
35.500000, 1.500000, 83
37.000000, 0.500000, 71
37.500000, 0.500000, 71
38.000000, 0.500000, 71
38.500000, 0.500000, 71
39.000000, 0.500000, 71
39.500000, 1.500000, 80
41.000000, 1.000000, 75
42.000000, 1.000000, 71
43.000000, 1.000000, 75
44.000000, 1.000000, 71
45.000000, 0.500000, 75
45.500000, 0.500000, 75
46.000000, 0.500000, 75
46.500000, 0.500000, 73
47.000000, 0.500000, 71
47.500000, 1.500000, 71
49.000000, 0.500000, 78
49.500000, 0.500000, 78
50.000000, 0.500000, 78
50.500000, 0.500000, 78
51.000000, 0.500000, 78
51.500000, 1.500000, 83
53.000000, 0.500000, 71
53.500000, 0.500000, 71
54.000000, 0.500000, 71
54.500000, 0.500000, 71
55.000000, 0.500000, 71
55.500000, 1.500000, 80
57.000000, 0.500000, 71
57.500000, 0.500000, 71
58.000000, 0.500000, 71
58.500000, 0.500000, 71
59.000000, 0.500000, 71
59.500000, 1.500000, 79
61.000000, 0.500000, 71
61.500000, 0.500000, 71
62.000000, 0.500000, 71
62.500000, 0.500000, 71
63.000000, 0.500000, 71
63.500000, 1.500000, 78
65.000000, 0.500000, 75
65.500000, 0.500000, 73
66.000000, 0.500000, 71
66.500000, 0.500000, 75
67.000000, 0.500000, 73
67.500000, 1.000000, 71
68.500000, 0.500000, 75
69.000000, 0.500000, 73
69.500000, 1.000000, 71
70.500000, 0.500000, 75
71.000000, 0.500000, 73
71.500000, 1.000000, 71
72.500000, 0.500000, 75
73.000000, 0.500000, 73
73.500000, 1.000000, 71
74.500000, 0.500000, 75
75.000000, 0.500000, 73
75.500000, 1.000000, 71
76.500000, 0.500000, 75
77.000000, 0.500000, 73
77.500000, 1.000000, 71
78.500000, 0.500000, 75
79.000000, 0.500000, 73
79.500000, 1.500000, 71
81.000000, 0.500000, 75
81.500000, 0.500000, 73
82.000000, 0.500000, 71
82.500000, 0.500000, 75
83.000000, 0.500000, 73
83.500000, 1.000000, 71
84.500000, 0.500000, 75
85.000000, 0.500000, 73
85.500000, 1.000000, 71
86.500000, 0.500000, 75
87.000000, 0.500000, 73
87.500000, 1.000000, 71
88.500000, 0.500000, 75
