Song: dindi

Position, Duration, Pitch
0.000000, 1.500000, 76
1.500000, 0.500000, 76
2.000000, 0.666667, 76
2.666667, 0.666667, 76
3.333333, 0.666667, 76
4.000000, 1.500000, 74
5.500000, 0.500000, 74
6.000000, 0.666667, 77
6.666667, 0.666667, 77
7.333333, 0.666667, 77
8.000000, 0.666667, 76
8.666667, 0.666667, 76
9.333333, 0.666667, 76
10.000000, 0.666667, 76
10.666667, 0.666667, 76
11.333333, 0.666667, 76
12.000000, 0.666667, 74
12.666667, 2.666667, 74
15.333333, 0.666667, 74
16.000000, 0.666667, 73
16.666667, 0.666667, 73
17.333333, 0.666667, 73
18.000000, 4.000000, 80
22.000000, 0.666667, 78
22.666667, 0.666667, 76
23.333333, 0.666667, 74
24.000000, 3.000000, 73
27.000000, 1.000000, 71
28.000000, 3.000000, 73
31.000000, 1.000000, 76
32.000000, 0.666667, 76
32.666667, 0.666667, 76
33.333333, 0.666667, 76
34.000000, 0.666667, 76
34.666667, 0.666667, 76
35.333333, 0.666667, 76
36.000000, 0.666667, 74
36.666667, 0.666667, 74
37.333333, 0.666667, 74
38.000000, 0.666667, 77
38.666667, 0.666667, 77
39.333333, 0.666667, 77
40.000000, 0.666667, 76
40.666667, 0.666667, 76
41.333333, 0.666667, 76
42.000000, 0.666667, 76
42.666667, 0.666667, 76
43.333333, 0.666667, 76
44.000000, 4.000000, 74
48.000000, 0.666667, 73
48.666667, 0.666667, 73
49.333333, 0.666667, 73
50.000000, 0.666667, 80
50.666667, 2.833333, 80
54.000000, 0.666667, 78
54.666667, 0.666667, 76
55.333333, 0.666667, 74
56.000000, 3.000000, 73
59.000000, 1.000000, 71
60.000000, 3.000000, 73
64.000000, 3.000000, 79
67.000000, 1.000000, 76
68.000000, 2.666667, 74
70.666667, 0.666667, 76
71.333333, 0.666667, 77
72.000000, 0.666667, 79
72.666667, 0.666667, 79
73.333333, 0.666667, 79
74.000000, 0.666667, 79
74.666667, 0.666667, 81
75.333333, 0.666667, 79
76.000000, 0.666667, 82
76.666667, 0.666667, 81
77.333333, 0.666667, 79
78.000000, 0.666667, 77
78.666667, 0.666667, 76
79.333333, 0.666667, 74
80.000000, 0.666667, 76
80.666667, 0.666667, 72
81.333333, 0.666667, 72
82.000000, 2.000000, 72
84.000000, 0.666667, 76
84.666667, 0.666667, 72
85.333333, 0.666667, 72
86.000000, 2.000000, 72
88.000000, 0.666667, 76
88.666667, 0.666667, 72
89.333333, 0.666667, 72
90.000000, 2.000000, 72
96.000000, 3.000000, 79
99.000000, 1.000000, 76
100.000000, 2.666667, 74
102.666667, 0.666667, 76
103.333333, 0.666667, 77
104.000000, 0.666667, 79
104.666667, 0.666667, 79
105.333333, 0.666667, 79
106.000000, 0.666667, 79
106.666667, 0.666667, 81
107.333333, 0.666667, 79
108.000000, 0.666667, 82
108.666667, 0.666667, 81
109.333333, 0.666667, 79
110.000000, 0.666667, 77
110.666667, 0.666667, 76
111.333333, 0.666667, 74
112.000000, 0.666667, 76
112.666667, 0.666667, 72
113.333333, 0.666667, 72
114.000000, 2.000000, 72
116.000000, 0.666667, 76
116.666667, 0.666667, 72
117.333333, 0.666667, 72
118.000000, 2.000000, 72
120.000000, 0.666667, 76
120.666667, 0.666667, 72
121.333333, 0.666667, 72
122.000000, 2.000000, 72
129.500000, 0.500000, 83
130.000000, 0.500000, 81
130.500000, 0.500000, 79
131.000000, 0.500000, 78
131.500000, 0.500000, 76
132.000000, 2.000000, 75
134.666667, 0.666667, 72
135.333333, 0.666667, 75
136.000000, 2.000000, 76
138.000000, 1.000000, 72
139.000000, 1.000000, 75
140.000000, 4.000000, 76
145.500000, 0.500000, 81
146.000000, 0.500000, 79
146.500000, 0.500000, 77
147.000000, 0.500000, 76
147.500000, 0.500000, 74
148.000000, 2.000000, 73
150.666667, 0.666667, 71
151.333333, 0.666667, 73
152.000000, 2.000000, 74
154.666667, 0.666667, 71
155.333333, 0.666667, 73
156.000000, 2.000000, 74
158.000000, 1.000000, 76
159.000000, 1.000000, 77
160.000000, 3.000000, 79
163.000000, 1.000000, 76
164.000000, 2.666667, 74
166.666667, 0.666667, 76
167.333333, 0.666667, 77
168.000000, 0.666667, 79
168.666667, 0.666667, 79
169.333333, 0.666667, 79
170.000000, 0.666667, 79
170.666667, 0.666667, 81
171.333333, 0.666667, 79
172.000000, 0.666667, 82
172.666667, 0.666667, 81
173.333333, 0.666667, 79
174.000000, 0.666667, 77
174.666667, 0.666667, 76
175.333333, 0.666667, 74
176.000000, 0.666667, 76
176.666667, 0.666667, 72
177.333333, 0.666667, 72
178.000000, 2.000000, 72
180.000000, 0.666667, 76
180.666667, 0.666667, 72
181.333333, 0.666667, 72
182.000000, 0.666667, 72
182.666667, 0.666667, 74
183.333333, 0.666667, 72
184.000000, 0.666667, 76
184.666667, 0.666667, 72
185.333333, 0.666667, 72
186.000000, 2.000000, 72
188.000000, 0.666667, 75
188.666667, 0.666667, 72
189.333333, 0.666667, 72
190.000000, 1.000000, 72
191.000000, 0.500000, 74
191.500000, 0.500000, 72
192.000000, 0.666667, 75
192.666667, 0.666667, 72
193.333333, 0.666667, 72
194.000000, 4.000000, 72
199.000000, 1.000000, 70
200.000000, 8.000000, 69
